timestamp rot_error_deg rot_chordal_error trans_abs_error trans_norm_error
71.9549 2.06687 0.0510131 0.104652 0
72.1549 2.44794 0.0604172 0.121722 0
72.3549 2.66432 0.0657566 0.109556 0
72.5049 1.92189 0.0474351 0.0919586 0
72.6549 2.16461 0.0534253 0.0937983 0
72.8549 2.70007 0.0666389 0.108982 0
73.0549 2.79112 0.0688856 0.106272 0
73.1049 0.68768 0.0169737 0.0256791 0
73.3049 2.65374 0.0654955 0.0986362 0
73.5049 2.64963 0.0653943 0.0926185 0
73.8049 4.03797 0.0996473 0.116345 0
73.9549 2.10703 0.0520041 0.0614315 0
74.1549 2.74867 0.0678381 0.075014 0
74.3549 2.75346 0.0679562 0.070738 0
74.4049 0.687387 0.0169665 0.0176719 0
74.6549 3.55107 0.087636 0.0956063 0
74.8549 2.8419 0.0701385 0.0930085 0
75.0549 2.77416 0.068467 0.0930511 0
75.2549 2.95508 0.0729312 0.154473 0
75.3049 0.722861 0.017842 0.0232168 0
75.5049 2.79818 0.0690597 0.0865403 0
75.6549 1.87121 0.0461844 0.0429191 0
75.9049 3.50815 0.0865771 0.108861 0
76.0049 1.32479 0.0326987 0.0403052 0
76.0549 0.731519 0.0180557 0.0313216 0
76.3049 3.56903 0.0880791 0.0968685 0
76.3549 0.737852 0.018212 0.0401419 0
76.6549 4.23026 0.10439 0.0736134 0
76.7549 1.46126 0.0360669 0.025956 0
77.0549 3.98095 0.0982408 0.0374924 0
77.3549 1.82992 0.0451653 0.0299504 0
77.5549 0.347036 0.00856575 0.0518614 0
77.7049 0.600495 0.0148218 0.0298915 0
77.8549 1.13557 0.0280285 0.0499283 0
77.9549 0.718344 0.0177306 0.0585973 0
78.2049 2.67954 0.0661322 0.0847435 0
78.3549 1.87212 0.046207 0.0638892 0
78.5549 2.4743 0.0610676 0.0758886 0
78.8049 3.23561 0.0798529 0.0991449 0
79.0549 3.08206 0.0760644 0.102859 0
79.1049 0.530749 0.0131003 0.0240846 0
79.2549 2.11139 0.0521118 0.0499746 0
79.4049 1.99685 0.0492851 0.0728091 0
79.6049 2.72143 0.0671658 0.0404196 0
79.9049 4.09915 0.101156 0.111106 0
79.9549 0.710033 0.0175254 0.0228885 0
80.1049 1.95888 0.048348 0.0740826 0
80.2549 2.15618 0.0532172 0.0722151 0
80.5549 4.16352 0.102744 0.136767 0
80.8049 3.42021 0.0844073 0.138579 0
80.9549 1.42693 0.0352195 0.0612755 0
81.1049 1.18378 0.0292184 0.0629459 0
81.2049 0.589858 0.0145592 0.0322666 0
81.3549 0.643985 0.0158952 0.0716431 0
81.6049 0.810147 0.0199964 0.109572 0
81.8049 0.444705 0.0109765 0.078422 0
82.0049 0.210314 0.00519112 0.0729959 0
82.0549 0.179604 0.00443312 0.014216 0
82.3049 1.34196 0.0331224 0.0896 0
82.3549 0.381244 0.00941011 0.0155175 0
82.6549 2.8631 0.0706615 0.105958 0
82.7049 0.676067 0.016687 0.0288934 0
82.9049 1.72111 0.0424801 0.0803197 0
83.2049 1.16607 0.0287813 0.132857 0
83.4549 1.04128 0.0257012 0.121725 0
83.6049 1.05886 0.0261352 0.0564383 0
83.8549 2.18143 0.0538402 0.166343 0
83.9049 0.499004 0.0123167 0.0645 0
84.0549 0.852522 0.0210423 0.0757153 0
84.2049 0.805401 0.0198793 0.07395 0
84.2549 0.151339 0.00373544 0.0279144 0
84.5549 0.729383 0.018003 0.188462 0
84.7549 0.63836 0.0157564 0.159171 0
84.8549 0.143813 0.00354968 0.0621014 0
85.0549 0.223956 0.00552783 0.125982 0
85.2549 0.36657 0.00904792 0.13989 0
85.4549 0.0879775 0.00217152 0.117079 0
85.5049 0.0864721 0.00213436 0.0364079 0
85.7049 0.077671 0.00191713 0.119888 0
86.0049 0.0444118 0.0010962 0.183689 0
86.2049 0.241689 0.00596552 0.120928 0
86.4049 0.17654 0.00435749 0.109902 0
86.6049 0.250407 0.0061807 0.0985889 0
86.7549 0.231562 0.00571556 0.0882334 0
86.9049 0.169305 0.00417889 0.0679801 0
87.0549 0.254206 0.00627447 0.0609987 0
87.2549 0.0524353 0.00129424 0.0733587 0
87.3049 0.239796 0.0059188 0.022026 0
87.5049 0.223881 0.00552598 0.0701679 0
87.7049 0.48008 0.0118496 0.0570062 0
87.9549 0.121356 0.00299538 0.078641 0
88.1549 0.591524 0.0146003 0.0606903 0
88.2549 0.574715 0.0141854 0.0386963 0
88.4549 1.53861 0.037976 0.0754495 0
88.5049 0.47358 0.0116892 0.0159695 0
88.5549 0.414535 0.0102318 0.0148889 0
88.7549 1.64751 0.0406635 0.0777517 0
89.0049 1.24239 0.0306648 0.106707 0
89.2549 0.323609 0.00798753 0.163098 0
89.4549 1.13229 0.0279476 0.133233 0
89.7049 1.6605 0.040984 0.128065 0
89.8549 0.228465 0.00563913 0.0928819 0
90.0049 0.708893 0.0174973 0.0834946 0
90.1549 0.845291 0.0208639 0.111153 0
90.3049 1.26477 0.0312173 0.096301 0
90.4549 1.30296 0.0321599 0.100668 0
